시점,기온 (℃),강수량 (mm),상대습도 (%),일조시간 (hr)
시점,평균,소계,평균,소계
2021. 01,-2.4,18.9,58.0,176.4
2021. 02,2.7,7.1,56.0,181.0
2021. 03,9.0,110.9,63.0,213.0
2021. 04,14.2,124.1,54.0,208.6
2021. 05,17.1,183.1,68.0,203.7
2021. 06,22.8,104.6,73.0,185.5
2021. 07,28.1,168.3,71.0,195.2
2021. 08,25.9,211.2,74.0,127.3
2021. 09,22.6,131.0,71.0,182.0
2021. 10,15.6,57.0,70.0,168.4
2021. 11,8.2,62.4,68.0,163.6
2021. 12,0.6,7.9,62.0,185.4
2022. 01,-2.2,5.5,55.0,206.9
2022. 02,-1.1,4.7,55.0,203.8
2022. 03,7.7,102.6,62.0,173.0
2022. 04,14.8,20.4,55.0,246.4
2022. 05,19.1,7.5,55.0,302.3
2022. 06,23.3,393.8,73.0,131.9
2022. 07,27.3,252.3,77.0,140.1
2022. 08,25.7,564.8,80.0,116.3
2022. 09,22.4,201.5,68.0,203.9
2022. 10,14.6,124.1,69.0,216.0
2022. 11,10.0,84.5,65.0,187.5
2022. 12,-2.8,13.6,59.0,197.1
2023. 01,-1.5,47.9,63.0,190.9
2023. 02,2.3,1.0,59.0,198.2
2023. 03,9.8,10.5,51.0,239.8
2023. 04,13.8,96.9,60.0,182.3
2023. 05,19.5,155.6,63.0,235.6
2023. 06,23.4,195.6,73.0,195.1
2023. 07,26.7,459.9,81.0,146.1
2023. 08,27.2,298.1,76.0,156.1
2023. 09,23.7,134.5,74.0,157.1
2023. 10,15.8,31.0,67.0,208.7
2023. 11,6.8,81.9,65.0,171.9
2023. 12,1.1,85.9,69.0,142.2
